recorded_at,temperature,air_humidity,soil_moisture,light_intensity,co2_concentration
2026-08-28T23:00:00+08:00,22.1,81.2,67.8,0.0,738
2026-08-29T00:00:00+08:00,21.8,82.0,67.6,0.0,745
2026-08-29T01:00:00+08:00,21.5,82.8,67.3,0.0,752
2026-08-29T02:00:00+08:00,21.2,83.5,67.1,0.0,758
2026-08-29T03:00:00+08:00,21.0,84.1,66.9,0.0,764
2026-08-29T04:00:00+08:00,20.9,84.5,66.7,0.0,770
2026-08-29T05:00:00+08:00,21.1,83.9,66.5,1.2,762
2026-08-29T06:00:00+08:00,22.0,81.6,66.2,8.5,738
2026-08-29T07:00:00+08:00,23.4,78.2,65.9,22.8,704
2026-08-29T08:00:00+08:00,24.8,74.5,65.6,38.4,676
2026-08-29T09:00:00+08:00,26.1,71.2,65.2,52.7,650
2026-08-29T10:00:00+08:00,27.3,68.5,64.9,65.3,628
2026-08-29T11:00:00+08:00,28.1,66.4,64.5,75.8,612
2026-08-29T12:00:00+08:00,28.7,64.9,64.2,82.1,605
2026-08-29T13:00:00+08:00,29.0,63.8,63.9,85.6,598
2026-08-29T14:00:00+08:00,29.2,63.2,63.5,83.4,602
2026-08-29T15:00:00+08:00,28.8,64.1,63.2,74.6,610
2026-08-29T16:00:00+08:00,28.0,66.0,62.9,59.2,624
2026-08-29T17:00:00+08:00,27.1,68.4,62.6,41.8,642
2026-08-29T18:00:00+08:00,25.9,71.3,62.3,22.5,665
2026-08-29T19:00:00+08:00,24.8,74.0,62.0,7.8,688
2026-08-29T20:00:00+08:00,24.0,76.2,61.8,0.8,705
2026-08-29T21:00:00+08:00,23.4,78.0,66.5,0.0,718
2026-08-29T22:00:00+08:00,22.9,79.5,68.2,0.0,728
2026-08-29T23:00:00+08:00,22.4,80.8,68.0,0.0,736
2026-08-30T00:00:00+08:00,22.0,81.7,67.8,0.0,744
2026-08-30T01:00:00+08:00,21.7,82.6,67.5,0.0,751
2026-08-30T02:00:00+08:00,21.4,83.3,67.3,0.0,757
2026-08-30T03:00:00+08:00,21.2,83.9,67.1,0.0,763
2026-08-30T04:00:00+08:00,21.0,84.3,66.9,0.0,768
2026-08-30T05:00:00+08:00,21.3,83.6,66.6,1.5,758
2026-08-30T06:00:00+08:00,22.2,81.1,66.4,9.2,734
2026-08-30T07:00:00+08:00,23.6,77.8,66.1,24.1,700
2026-08-30T08:00:00+08:00,25.0,74.1,65.8,40.2,672
2026-08-30T09:00:00+08:00,26.4,70.8,65.5,54.6,646
2026-08-30T10:00:00+08:00,27.6,68.0,65.1,67.1,625
2026-08-30T11:00:00+08:00,28.4,65.9,64.8,77.3,608
2026-08-30T12:00:00+08:00,29.0,64.4,64.5,84.0,601
2026-08-30T13:00:00+08:00,29.3,63.4,64.1,87.2,595
2026-08-30T14:00:00+08:00,29.5,62.9,63.8,84.8,599
2026-08-30T15:00:00+08:00,29.1,63.8,63.5,76.1,607
2026-08-30T16:00:00+08:00,28.3,65.7,63.2,60.4,621
2026-08-30T17:00:00+08:00,27.4,68.1,62.9,42.6,639
2026-08-30T18:00:00+08:00,26.2,71.0,62.6,23.4,661
2026-08-30T19:00:00+08:00,25.1,73.7,62.3,8.2,684
2026-08-30T20:00:00+08:00,24.3,75.9,62.1,1.0,701
2026-08-30T21:00:00+08:00,23.7,77.7,66.8,0.0,715
2026-08-30T22:00:00+08:00,23.1,79.2,68.5,0.0,725
2026-08-30T23:00:00+08:00,22.6,80.5,68.3,0.0,734
2026-08-31T00:00:00+08:00,22.2,81.4,68.1,0.0,742
2026-08-31T01:00:00+08:00,21.9,82.3,67.8,0.0,749
2026-08-31T02:00:00+08:00,21.6,83.0,67.6,0.0,755
2026-08-31T03:00:00+08:00,21.4,83.6,67.4,0.0,761
2026-08-31T04:00:00+08:00,21.2,84.0,67.2,0.0,766
2026-08-31T05:00:00+08:00,21.5,83.3,66.9,1.4,756
2026-08-31T06:00:00+08:00,22.4,80.8,66.7,9.8,731
2026-08-31T07:00:00+08:00,23.8,77.5,66.4,25.0,697
2026-08-31T08:00:00+08:00,25.2,73.8,66.1,41.3,669
2026-08-31T09:00:00+08:00,26.6,70.5,65.8,55.8,643
2026-08-31T10:00:00+08:00,27.8,67.7,65.4,68.4,622
2026-08-31T11:00:00+08:00,28.6,65.6,65.1,78.5,605
2026-08-31T12:00:00+08:00,29.2,64.1,64.8,85.2,598
2026-08-31T13:00:00+08:00,29.5,63.1,64.4,88.5,592
