model,target,horizon,mae,rmse,r2,relative_persistence_improvement_pct
persistence,air_temperature_c,1,0.8963044881820679,1.2759315079869022,0.9232479333877563,
persistence,air_temperature_c,2,1.6658769845962524,2.345733312052065,0.7400515675544739,
persistence,air_temperature_c,3,2.386082887649536,3.263454756486113,0.4962332844734192,
persistence,air_temperature_c,4,3.0724661350250244,4.066113786687965,0.21805918216705322,
persistence,air_temperature_c,5,3.7418928146362305,4.776393044073593,-0.07771265506744385,
persistence,air_temperature_c,6,4.377744197845459,5.406419872635994,-0.3786141872406006,
persistence,air_humidity_pct,1,3.304394006729126,4.878154223279399,0.8633188009262085,
persistence,air_humidity_pct,2,5.728155136108398,8.267151545588987,0.6119866371154785,
persistence,air_humidity_pct,3,7.646327495574951,10.877188276042686,0.3340529799461365,
persistence,air_humidity_pct,4,9.428033828735352,13.082052828251836,0.03825867176055908,
persistence,air_humidity_pct,5,11.091912269592285,14.929771307326261,-0.25347352027893066,
persistence,air_humidity_pct,6,12.627067565917969,16.566878290698828,-0.5446069240570068,
persistence,light_intensity,1,75.55523681640625,111.3224702511245,0.8631909489631653,
persistence,light_intensity,2,135.15182495117188,190.44028960871174,0.5993129014968872,
persistence,light_intensity,3,189.9303436279297,259.2435660966343,0.25730621814727783,
persistence,light_intensity,4,243.178955078125,324.43984178503723,-0.16265559196472168,
persistence,light_intensity,5,294.288330078125,381.64203204704796,-0.6076995134353638,
persistence,light_intensity,6,343.1284484863281,431.697467128312,-1.0548524856567383,
seasonal_24,air_temperature_c,1,1.0781826972961426,1.7817206179327951,0.8503369688987732,-20.29201142158394
seasonal_24,air_temperature_c,2,1.0860216617584229,1.799049057372739,0.8470970392227173,34.807811633124
seasonal_24,air_temperature_c,3,1.0929551124572754,1.8109947399608575,0.8448654413223267,54.194587366832216
seasonal_24,air_temperature_c,4,1.100576639175415,1.8234122411029352,0.84275221824646,64.17937282923214
seasonal_24,air_temperature_c,5,1.1085113286972046,1.8372034780810336,0.8405526280403137,70.37565254778767
seasonal_24,air_temperature_c,6,1.1151560544967651,1.8485430470480126,0.8388307094573975,74.52669676209958
seasonal_24,air_humidity_pct,1,5.278059959411621,8.314337735207637,0.602942943572998,-59.728529608251534
seasonal_24,air_humidity_pct,2,5.307879447937012,8.370901898612324,0.6021866798400879,7.337016512037314
seasonal_24,air_humidity_pct,3,5.348429203033447,8.452926887263711,0.5978198647499084,30.0523132689691
seasonal_24,air_humidity_pct,4,5.376250267028809,8.491275124200326,0.5948159694671631,42.97591242574102
seasonal_24,air_humidity_pct,5,5.395284175872803,8.509378532551828,0.5928030014038086,51.35839479488489
seasonal_24,air_humidity_pct,6,5.402795314788818,8.514203042116321,0.5920333862304688,57.212588856563684
seasonal_24,light_intensity,1,74.36846923828125,157.1549668122201,0.7273499965667725,1.5707284208621557
seasonal_24,light_intensity,2,74.40245819091797,157.15760774418462,0.727128267288208,44.948979995054934
seasonal_24,light_intensity,3,74.49382019042969,157.17288078140263,0.727008581161499,60.778347067932536
seasonal_24,light_intensity,4,74.5106201171875,157.17355802980984,0.727138876914978,69.3597580871051
seasonal_24,light_intensity,5,74.47977447509766,157.16900363342958,0.7273370027542114,74.69156372754385
seasonal_24,light_intensity,6,74.41875457763672,157.15138750182894,0.7276934385299683,78.3116920482908
moving_average_6,air_temperature_c,1,2.5745253562927246,3.29507758875538,0.4881218671798706,-187.23780704417902
moving_average_6,air_temperature_c,2,3.235584259033203,4.048447940272625,0.22570395469665527,-94.22708212859968
moving_average_6,air_temperature_c,3,3.856456995010376,4.716553637944181,-0.0522618293762207,-61.62292663727472
moving_average_6,air_temperature_c,4,4.437276363372803,5.303631369805702,-0.33033645153045654,-44.42067604226539
moving_average_6,air_temperature_c,5,4.9629082679748535,5.809339422862921,-0.5942496061325073,-32.6309574812694
moving_average_6,air_temperature_c,6,5.418288707733154,6.228239094578682,-0.8295899629592896,-23.768965541655163
moving_average_6,air_humidity_pct,1,7.832396507263184,10.433118802953553,0.3747900128364563,-137.0297395320641
moving_average_6,air_humidity_pct,2,9.611039161682129,12.58772016103548,0.10044229030609131,-67.78594387392394
moving_average_6,air_humidity_pct,3,11.196417808532715,14.421420568578545,-0.1706376075744629,-46.42869815623587
moving_average_6,air_humidity_pct,4,12.614087104797363,15.996050824118228,-0.4379110336303711,-33.79340097774532
moving_average_6,air_humidity_pct,5,13.867874145507812,17.352749635774586,-0.6933450698852539,-25.026900758362792
moving_average_6,air_humidity_pct,6,14.957052230834961,18.506810764627556,-0.9275238513946533,-18.452302189353222
moving_average_6,light_intensity,1,203.82723999023438,264.43824598098513,0.22803473472595215,-169.7724851098274
moving_average_6,light_intensity,2,254.4123077392578,323.9065258681893,-0.15911650657653809,-88.241858984274
moving_average_6,light_intensity,3,301.57843017578125,376.2122904690914,-0.5640829801559448,-58.78370165357478
moving_average_6,light_intensity,4,346.1205139160156,421.37537080968553,-0.9611959457397461,-42.33160669878652
moving_average_6,light_intensity,5,384.994873046875,458.8902884949735,-1.3243963718414307,-30.82233772051717
moving_average_6,light_intensity,6,419.21044921875,488.76587250441287,-1.6340460777282715,-22.173037842839587
xgboost,air_temperature_c,1,1.083174467086792,1.6945415097282623,0.8646246194839478,-20.848939324597566
xgboost,air_temperature_c,2,2.020963191986084,2.8788766018338516,0.6084600687026978,-21.315271816177436
xgboost,air_temperature_c,3,2.41083025932312,3.2401733024778676,0.5033953785896301,-1.0371547359765834
xgboost,air_temperature_c,4,2.720285654067993,3.6426639986526452,0.37244319915771484,11.462469087691437
xgboost,air_temperature_c,5,3.0885255336761475,4.102043777567004,0.20511656999588013,17.460876442116913
xgboost,air_temperature_c,6,3.2396528720855713,4.303836468379998,0.12635546922683716,25.9972093919971
xgboost,air_humidity_pct,1,3.3941404819488525,5.086507317049821,0.8513938188552856,-2.715973792379639
xgboost,air_humidity_pct,2,5.642261981964111,7.913800038450806,0.6444464921951294,1.499490710418177
xgboost,air_humidity_pct,3,6.831917762756348,9.553947663379251,0.48622608184814453,10.65099203885676
xgboost,air_humidity_pct,4,7.413874626159668,10.264991032317305,0.40786105394363403,21.363512681051304
xgboost,air_humidity_pct,5,7.516960144042969,10.360565071160453,0.39636313915252686,32.2302596581998
xgboost,air_humidity_pct,6,7.642289638519287,10.514441232241946,0.3778300881385803,39.47692448287217
xgboost,light_intensity,1,155.30699157714844,196.6906577439559,0.5729126930236816,-105.5542383574724
xgboost,light_intensity,2,164.14344787597656,206.61516915512277,0.5283583998680115,-21.451151647622133
xgboost,light_intensity,3,164.20407104492188,207.3833444674379,0.5247287750244141,13.545109270904677
xgboost,light_intensity,4,163.4892120361328,212.53299376214508,0.5010747909545898,32.769999779129996
xgboost,light_intensity,5,167.17356872558594,221.01477608974474,0.46081840991973877,43.19395244751764
xgboost,light_intensity,6,161.47998046875,213.5144352555583,0.4973379373550415,52.9389121825659
gru,air_temperature_c,1,1.4973918199539185,1.988158876141848,0.8136465549468994,-67.06284970088767
gru,air_temperature_c,2,1.8411402702331543,2.46710043736036,0.712456464767456,-10.520781981952842
gru,air_temperature_c,3,2.1173441410064697,2.8541736092216166,0.6146680116653442,11.262758223281736
gru,air_temperature_c,4,2.2517378330230713,3.0432638042427995,0.5619798898696899,26.712362836027438
gru,air_temperature_c,5,2.300553560256958,3.1049326691875283,0.544585108757019,38.51898827089714
gru,air_temperature_c,6,2.267853021621704,3.0425898226641546,0.5633735656738281,48.195853409209114
gru,air_humidity_pct,1,4.274936676025391,6.067764356188081,0.7885269522666931,-29.37127555974967
gru,air_humidity_pct,2,5.558965682983398,7.773949565028037,0.6569019556045532,2.953646490097406
gru,air_humidity_pct,3,6.32987642288208,8.806736569739614,0.5634475946426392,17.21677594184557
gru,air_humidity_pct,4,6.743904113769531,9.358459937399013,0.5078299045562744,28.469665719537
gru,air_humidity_pct,5,6.867220878601074,9.50467085202697,0.49197739362716675,38.088034671649105
gru,air_humidity_pct,6,6.799521446228027,9.341602703854416,0.5088893175125122,46.15122307113661
gru,light_intensity,1,108.59696960449219,138.9085102459529,0.7869865894317627,-43.731889648331
gru,light_intensity,2,102.44998168945312,139.00492487903082,0.7865244746208191,24.19637564904017
gru,light_intensity,3,100.14949035644531,139.42284072426943,0.7851864695549011,47.270410591876534
gru,light_intensity,4,100.73719787597656,140.10924866867282,0.783171534538269,58.574870163574325
gru,light_intensity,5,105.30477905273438,142.594006820939,0.7755627036094666,64.21714071204285
gru,light_intensity,6,116.65125274658203,148.5952517011395,0.7565377950668335,66.00361955962099
lstm,air_temperature_c,1,1.3407658338546753,1.7346182987605716,0.8581454753875732,-49.58820931200372
lstm,air_temperature_c,2,1.672277569770813,2.185712792692556,0.7743080258369446,-0.3842171561132297
